,Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average),Lower chamber female legislators (aggregate: average)
Entity,Africa,Asia,Europe,North America,Oceania,South America
Year,,,,,,
1900,0.0,0.0,0.0,0.0,0.0,0.0
1901,0.0,0.0,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0,0.0,0.0
1903,0.0,0.0,0.0,0.0,0.0,0.0
1904,0.0,0.0,0.0,0.0,0.0,0.0
1905,0.0,0.0,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0,0.0,0.0
1907,0.0,0.0,0.5,0.0,0.0,0.0
1908,0.0,0.0,0.65789473,0.0,0.0,0.0
1909,0.0,0.0,0.55263156,0.0,0.0,0.0
1910,0.0,0.0,0.4722222,0.0,0.0,0.0
1911,0.0,0.0,0.36842105,0.0,0.0,0.0
1912,0.0,0.0,0.35,0.0,0.0,0.0
1913,0.0,0.0,0.525,0.0,0.0,0.0
1914,0.0,0.0,0.55263156,0.0,0.0,0.0
1915,0.0,0.0,0.55263156,0.0,0.0,0.0
1916,0.0,0.0,0.6315789,0.0,0.0,0.0
1917,0.0,0.0,0.5,0.0,0.0,0.0
1918,0.0,0.0,0.61904764,0.0,0.0,0.0
1919,0.0,0.0,0.5478261,0.0,0.0,0.0
1920,0.0,0.0,0.48333335,0.0,0.0,0.0
1921,0.0,0.0,0.59074074,0.035833333,0.0,0.0
1922,0.0,0.0,0.91615385,0.035833333,0.0,0.0
1923,0.0,0.0,1.0791304,0.035833333,0.0,0.0
1924,0.0,0.0,0.9175,0.035833333,0.0,0.0
1925,0.0,0.0,0.85384005,0.029285714,0.0,0.0
1926,0.0,0.0,0.9715,0.029285714,0.0,0.0
1927,0.0,0.0,0.96091306,0.029285714,0.0,0.0
1928,0.0,0.0,0.95265216,0.029285714,0.0,0.0
1929,0.0,0.0,0.9453044,0.029285714,0.0,0.0
1930,0.0,0.0,0.9975,0.027333332,0.0,0.0
1931,0.0,0.24285714,1.0599566,0.029285714,0.0,0.0
1932,0.0,0.2,0.97664,0.027333332,0.0,0.0
1933,0.0,0.2125,1.0936521,0.027333332,0.41666666,0.0
1934,0.0,0.2125,1.2597001,0.027333332,0.41666666,0.0
1935,0.0,0.51250005,1.275579,0.054666664,0.0,0.0
1936,0.122727275,0.38235295,1.2621052,0.054666664,0.0,0.0
1937,0.122727275,0.38235295,1.2792778,0.054666664,0.0,0.0
1938,0.122727275,0.38235295,1.1293,0.054666664,0.0,0.0
1939,0.122727275,0.3375,1.4974667,0.054666664,1.25,0.0
1940,0.122727275,0.3375,1.5630001,0.027333332,1.25,0.0
1941,0.112500004,0.36,1.8691819,0.027333332,1.25,0.0
1942,0.112500004,0.3857143,1.8116363,0.029285714,1.25,0.34444442
1943,0.0545,0.34666666,1.8222222,0.029285714,1.6999999,0.44285712
1944,0.058333334,0.11333334,1.657909,0.029285714,1.2833333,0.3875
1945,0.058333334,0.33333334,2.9180589,0.876923,1.2666667,0.0
1946,0.035,0.7588235,4.3792,1.1846154,1.7333332,0.6222222
1947,0.029166667,0.40526316,4.6,0.9538461,1.7333332,0.56
1948,0.05026923,0.90000004,5.2084002,1.0500001,1.7333332,0.0
1949,0.04642857,1.5,5.863333,0.9692308,1.5333333,0.07777777
